Classifier,GroupAMeanAccuracyPercent,GroupAStandardDeviationPercent,PaperGroupAAccuracyPercent,GroupADifferencePercent,GroupBMeanAccuracyPercent,GroupBStandardDeviationPercent,PaperGroupBAccuracyPercent,GroupBDifferencePercent
Fine Tree,95.8333333333333,6.21129993749942,95.8,0.0333333333333314,78.0092592592592,16.0298406597162,91.4,-13.3907407407408
Linear Discriminant,93.3333333333333,11.1457792487438,96.7,-3.36666666666667,72.6851851851852,21.015003113158,91.7,-19.0148148148148
Linear SVM,93.3333333333333,11.1457792487438,96.7,-3.36666666666667,76.6203703703704,15.2014582156088,91.9,-15.2796296296297
