SubjectID,Mean9Hz,Mean10Hz,Mean11Hz,Mean12Hz
10,9.16666666666667,10,11,12
14,9,10.2666666666667,11,11.3666666666667
15,9.7,10,11,12
20,9.46666666666667,10,11.0333333333333,12
22,9,9.96666666666667,11,12
25,9,10,11,12
26,9,10,11,12
31,9,10,11,12
32,9,10,11,12
35,9,10,11,12
