StartSample,EndSample,StartTimeFromEpochSeconds,StartTimeRelativeToStimulusSeconds,MeanAbsoluteDifferenceHz,GroupAMeanAbsoluteDifferenceHz,GroupBMeanAbsoluteDifferenceHz,RootMeanSquaredDifferenceHz,MaximumAbsoluteDifferenceHz,MatchingPercentage
131,1380,0.52,0.02,0.158892857142857,0.0288333333333333,0.231148148148148,0.349592881134159,1.94,55.3571428571429
133,1382,0.528,0.028,0.159190476190476,0.0288333333333333,0.231611111111111,0.349663818137201,1.94,55.3571428571429
129,1378,0.512,0.012,0.159309523809524,0.0288333333333333,0.231796296296296,0.350378061120107,1.94,56.25
130,1379,0.516,0.016,0.159785714285714,0.0288333333333333,0.232537037037037,0.350468654486785,1.94,55.3571428571429
132,1381,0.524,0.024,0.160142857142857,0.0315,0.231611111111111,0.349981439417161,1.94,55.3571428571429
124,1373,0.492,-0.008,0.16175,0.0373333333333333,0.23087037037037,0.356583356981492,1.94,58.0357142857143
135,1384,0.536,0.036,0.162880952380952,0.0288333333333333,0.237351851851852,0.353711758267248,1.94,56.25
136,1385,0.54,0.04,0.162880952380952,0.0288333333333333,0.237351851851852,0.353711758267248,1.94,56.25
134,1383,0.532,0.032,0.163059523809524,0.0288333333333333,0.237629629629629,0.353708953533161,1.94,55.3571428571429
123,1372,0.488,-0.012,0.163833333333333,0.0431666666666667,0.23087037037037,0.357283767440098,1.94,57.1428571428571
127,1376,0.504,0.004,0.164130952380952,0.0373333333333333,0.234574074074074,0.357860851294031,1.94,57.1428571428571
140,1389,0.556,0.056,0.16425,0.0288333333333333,0.239481481481481,0.357272660538494,1.94,56.25
125,1374,0.496,-0.004,0.164428571428571,0.0373333333333333,0.235037037037037,0.35795786530447,1.94,57.1428571428571
126,1375,0.5,0,0.164428571428571,0.0373333333333333,0.235037037037037,0.35795786530447,1.94,57.1428571428571
128,1377,0.508,0.008,0.164428571428571,0.0431666666666667,0.231796296296296,0.355373858584279,1.94,56.25
139,1388,0.552,0.052,0.165559523809524,0.0288333333333333,0.241518518518518,0.357547454947847,1.94,56.25
137,1386,0.544,0.044,0.165857142857143,0.0288333333333333,0.241981481481481,0.357616814082176,1.94,56.25
138,1387,0.548,0.048,0.165857142857143,0.0288333333333333,0.241981481481481,0.357616814082176,1.94,56.25
122,1371,0.484,-0.016,0.165916666666667,0.0431666666666667,0.234111111111111,0.360669164237457,1.94,57.1428571428571
120,1369,0.476,-0.024,0.168119047619047,0.0445,0.236796296296296,0.361246332435933,1.94,55.3571428571429
121,1370,0.48,-0.02,0.168416666666667,0.0445,0.237259259259259,0.361260063296973,1.94,55.3571428571429
142,1391,0.564,0.064,0.168654761904762,0.0296666666666666,0.24587037037037,0.362236362807052,1.94,56.25
143,1392,0.568,0.068,0.168654761904762,0.0296666666666666,0.24587037037037,0.362236362807052,1.94,56.25
150,1399,0.596,0.096,0.168833333333333,0.0318333333333333,0.244944444444444,0.364183834181811,1.94,55.3571428571429
141,1390,0.56,0.06,0.169130952380952,0.0296666666666666,0.246611111111111,0.362321253138965,1.94,55.3571428571429
145,1394,0.576,0.076,0.169130952380952,0.0318333333333333,0.245407407407407,0.362723527142722,1.94,56.25
146,1395,0.58,0.08,0.169130952380952,0.0318333333333333,0.245407407407407,0.362723527142722,1.94,56.25
144,1393,0.572,0.072,0.169547619047619,0.0296666666666666,0.247259259259259,0.363731356910564,1.94,57.1428571428571
109,1358,0.432,-0.068,0.170738095238095,0.0385,0.244203703703704,0.374257073604304,1.94,54.4642857142857
118,1367,0.468,-0.032,0.171095238095238,0.042,0.242814814814815,0.371340482533555,1.94,55.3571428571429
110,1359,0.436,-0.064,0.171333333333333,0.0385,0.245129629629629,0.374204054765812,1.94,53.5714285714286
149,1398,0.592,0.092,0.171392857142857,0.0318333333333333,0.248925925925926,0.367732358246575,1.94,55.3571428571429
111,1360,0.44,-0.06,0.171630952380952,0.0385,0.245592592592592,0.374402836697299,1.94,53.5714285714286
148,1397,0.588,0.088,0.171690476190476,0.0318333333333333,0.249388888888889,0.367000529820992,1.94,56.25
153,1402,0.608,0.108,0.172404761904762,0.0426666666666666,0.244481481481481,0.36796699084185,1.94,54.4642857142857
154,1403,0.612,0.112,0.172404761904762,0.0426666666666666,0.244481481481481,0.36796699084185,1.94,54.4642857142857
